,n_hits,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_O_4_uniref90.domtblout,86.0,0.9998847460512224,0.2558139534883721,0.9565217391304348,0.999886514560714,0.9782041268455745,0.494632065704902,0.4036697247706422
out_psiblast_C_1_denoised1_swissprot_1iterations.xml,143.0,0.9997836772038328,0.1538461538461538,0.9565217391304348,0.9997854415913496,0.9781535903608922,0.3835654905686331,0.2650602409638554
out_psiblast_C_1_denoised1_swissprot_2iterations.xml,534.0,0.9990939266488408,0.0430711610486891,1.0,0.9990938896956996,0.9995469448478498,0.2074418805975416,0.0825852782764811
out_psiblast_C_1_denoised1_swissprot_3iterations.xml,651.0,0.9988864695410412,0.0353302611367127,1.0,0.9988864241270043,0.9994432120635022,0.1878587719813058,0.0682492581602373
out_psiblast_C_1_swissprot_1iterations.xml,114.0,0.9998350981963644,0.1929824561403508,0.9565217391304348,0.9998368646810262,0.9781793019057304,0.429602998378942,0.3211678832116788
out_psiblast_C_1_swissprot_2iterations.xml,511.0,0.9991347088153312,0.0450097847358121,1.0,0.9991346735254428,0.9995673367627216,0.2120632843692328,0.0861423220973782
out_psiblast_C_1_swissprot_3iterations.xml,598.0,0.9989804458377366,0.0384615384615384,1.0,0.9989804042564132,0.9994902021282066,0.1960161300521752,0.074074074074074
out_psiblast_C_3_denoised1_uniref90_1iterations.xml,132.0,0.9998031817182412,0.1666666666666666,0.9565217391304348,0.9998049469012268,0.9781633430158309,0.3992318686044783,0.2838709677419355
out_psiblast_C_4_denoised1_uniref90_1iterations.xml,123.0,0.9998191399573028,0.1788617886178861,0.9565217391304348,0.9998209057911264,0.9781713224607806,0.4135836794472747,0.3013698630136986
out_psiblast_C_4_uniref90_1iterations.xml,119.0,0.9998262325079968,0.1848739495798319,0.9565217391304348,0.9998279986310818,0.9781748688807584,0.4204788426329877,0.3098591549295774
out_psiblast_M_1.xml,97.0,0.9998687878121608,0.2371134020618556,1.0,0.9998687824608252,0.9999343912304126,0.4869109658086701,0.3833333333333333
out_psiblast_M_3_uniref90_1iterations.xml,67.0,0.9999184356670188,0.3283582089552239,0.9565217391304348,0.999920205550502,0.9782209723404685,0.5604050926074292,0.4888888888888889
out_psiblast_M_3_uniref90_2iterations.xml,504.0,0.9991435745036988,0.0436507936507936,0.9565217391304348,0.999145312785376,0.9778335259579054,0.2042398816027281,0.0834914611005692
out_psiblast_M_4_denoised1_uniref90_1iterations.xml,51.0,0.999946805869795,0.4313725490196078,0.9565217391304348,0.9999485769103236,0.9782351580203792,0.6423342916154811,0.5945945945945946
out_psiblast_M_4_uniref90_1iterations.xml,53.0,0.999943259594448,0.4150943396226415,0.9565217391304348,0.9999450304903458,0.9782333848103903,0.6300970131654986,0.5789473684210527
out_psiblast_O_1.xml,79.0,0.999897158014937,0.2784810126582278,0.9565217391304348,0.9998989270306358,0.9782103330805352,0.5160845856414338,0.4313725490196078
out_psiblast_O_3_uniref90_1iterations.xml,113.0,0.999836871334038,0.1946902654867256,0.9565217391304348,0.999838637891015,0.9781801885107247,0.4315001270044298,0.3235294117647059
out_psiblast_O_3_uniref90_2iterations.xml,518.0,0.9991187505762698,0.0424710424710424,0.9565217391304348,0.999120487845532,0.9778211134879836,0.2014582476991007,0.0813308687615526
out_psiblast_O_4_denoised1_uniref90_1iterations.xml,123.0,0.9998191399573028,0.1788617886178861,0.9565217391304348,0.9998209057911264,0.9781713224607806,0.4135836794472747,0.3013698630136986
out_psiblast_O_4_uniref90_1iterations.xml,128.0,0.9998102742689352,0.171875,0.9565217391304348,0.9998120397411824,0.9781668894358084,0.4054234479493738,0.2913907284768212
