,index,pdb,sp_primary,chain,pdb_beg,pdb_end,sp_beg,sp_end
233,386711,6u8r,P12268,O,1,14,1,14
234,386712,6u8r,P12268,P,1,14,1,14
235,386760,6uc2,P12268,A,11,327,11,327
236,386761,6uc2,P12268,A,333,413,333,413
237,386762,6uc2,P12268,A,446,500,446,500
238,386763,6uc2,P12268,B,11,327,11,327
239,386764,6uc2,P12268,B,333,413,333,413
240,386765,6uc2,P12268,B,446,500,446,500
241,386766,6uc2,P12268,C,11,327,11,327
242,386767,6uc2,P12268,C,333,413,333,413
243,386768,6uc2,P12268,C,446,500,446,500
244,386769,6uc2,P12268,D,11,327,11,327
245,386770,6uc2,P12268,D,333,413,333,413
246,386771,6uc2,P12268,D,446,500,446,500
247,386772,6uc2,P12268,E,11,327,11,327
248,386773,6uc2,P12268,E,333,413,333,413
249,386774,6uc2,P12268,E,446,500,446,500
250,386775,6uc2,P12268,F,11,327,11,327
251,386776,6uc2,P12268,F,333,413,333,413
252,386777,6uc2,P12268,F,446,500,446,500
253,386778,6uc2,P12268,G,11,327,11,327
254,386779,6uc2,P12268,G,333,413,333,413
255,386780,6uc2,P12268,G,446,500,446,500
256,386781,6uc2,P12268,H,11,327,11,327
257,386782,6uc2,P12268,H,333,413,333,413
258,386783,6uc2,P12268,H,446,500,446,500
259,469532,6dvh,P21795,A,0,393,1,394
260,469533,6dvh,P21795,B,0,393,1,394
261,469534,6dvh,P21795,C,0,393,1,394
262,469535,6dvh,P21795,D,0,393,1,394
263,469536,6dvh,P21795,E,0,393,1,394
264,469537,6dvh,P21795,F,1,393,2,394
265,473276,6i0o,P12268,A,11,325,11,325
266,473277,6i0o,P12268,A,335,403,335,403
267,473278,6i0o,P12268,A,450,499,450,499
268,473279,6i0o,P12268,B,11,167,11,167
269,473280,6i0o,P12268,B,170,326,170,326
270,473281,6i0o,P12268,B,335,402,335,402
271,473282,6i0o,P12268,B,449,497,449,497
272,485901,6u8n,P12268,A,11,420,11,420
273,485902,6u8n,P12268,A,437,514,437,514
274,485903,6u8n,P12268,B,11,420,11,420
275,485904,6u8n,P12268,B,437,514,437,514
276,485905,6u8n,P12268,C,11,420,11,420
277,485906,6u8n,P12268,C,437,514,437,514
278,485907,6u8n,P12268,D,11,420,11,420
279,485908,6u8n,P12268,D,437,514,437,514
280,485909,6u8n,P12268,E,11,420,11,420
281,485910,6u8n,P12268,E,437,514,437,514
282,485911,6u8n,P12268,F,11,420,11,420
283,485912,6u8n,P12268,F,437,514,437,514
284,485913,6u8n,P12268,G,11,420,11,420
285,485914,6u8n,P12268,G,437,514,437,514
286,485915,6u8n,P12268,H,11,420,11,420
287,485916,6u8n,P12268,H,437,514,437,514
288,485917,6u8n,P12268,I,1,14,1,14
289,485918,6u8n,P12268,J,1,14,1,14
290,485919,6u8n,P12268,K,1,14,1,14
291,485920,6u8n,P12268,L,1,14,1,14
292,485921,6u8n,P12268,M,1,14,1,14
293,485922,6u8n,P12268,N,1,14,1,14
294,485923,6u8n,P12268,O,1,14,1,14
295,485924,6u8n,P12268,P,1,14,1,14
296,501416,1vzw,P16250,A,2,19,2,19
297,501417,1vzw,P16250,A,28,168,28,168
298,501418,1vzw,P16250,A,176,240,176,240
299,506320,2gjn,Q9I4V0,A,3,326,3,326
300,510872,2vep,P16250,A,1,240,1,240
301,538589,4ori,Q63707,A,36,218,35,217
302,538590,4ori,Q63707,A,225,396,224,395
303,540650,4rv8,Q8T6T2,A,1,89,1,89
304,540651,4rv8,Q8T6T2,A,135,310,135,310
305,540652,4rv8,Q8T6T2,A,325,378,325,378
306,540653,4rv8,Q8T6T2,A,388,392,388,392
307,540654,4rv8,Q8T6T2,B,1,89,1,89
308,540655,4rv8,Q8T6T2,B,135,310,135,310
309,540656,4rv8,Q8T6T2,B,325,378,325,378
310,540657,4rv8,Q8T6T2,B,388,392,388,392
311,540658,4rv8,Q8T6T2,C,1,89,1,89
312,540659,4rv8,Q8T6T2,C,135,309,135,309
313,540660,4rv8,Q8T6T2,C,326,378,326,378
314,540661,4rv8,Q8T6T2,C,388,392,388,392
315,540662,4rv8,Q8T6T2,D,1,89,1,89
316,540663,4rv8,Q8T6T2,D,135,310,135,310
317,540664,4rv8,Q8T6T2,D,325,378,325,378
318,540665,4rv8,Q8T6T2,D,388,392,388,392
319,583644,6ua2,P12268,A,11,420,11,420
320,583645,6ua2,P12268,A,437,514,437,514
321,583646,6ua2,P12268,B,11,420,11,420
322,583647,6ua2,P12268,B,437,514,437,514
323,583648,6ua2,P12268,C,11,420,11,420
324,583649,6ua2,P12268,C,437,514,437,514
325,583650,6ua2,P12268,D,11,420,11,420
326,583651,6ua2,P12268,D,437,514,437,514
327,583652,6ua2,P12268,E,11,420,11,420
328,583653,6ua2,P12268,E,437,514,437,514
329,583654,6ua2,P12268,F,11,420,11,420
330,583655,6ua2,P12268,F,437,514,437,514
331,583656,6ua2,P12268,G,11,420,11,420
332,583657,6ua2,P12268,G,437,514,437,514
333,583658,6ua2,P12268,H,11,420,11,420
334,583659,6ua2,P12268,H,437,514,437,514
335,583660,6ua2,P12268,I,1,14,1,14
336,583661,6ua2,P12268,J,1,14,1,14
337,583662,6ua2,P12268,K,1,14,1,14
338,583663,6ua2,P12268,L,1,14,1,14
339,583664,6ua2,P12268,M,1,14,1,14
340,583665,6ua2,P12268,N,1,14,1,14
341,583666,6ua2,P12268,O,1,14,1,14
342,583667,6ua2,P12268,P,1,14,1,14
343,590715,1b3o,P12268,A,10,109,10,109
344,590716,1b3o,P12268,A,232,327,232,327
345,590717,1b3o,P12268,A,341,400,341,400
346,590718,1b3o,P12268,A,449,499,449,499
347,590719,1b3o,P12268,B,10,129,10,129
348,590720,1b3o,P12268,B,140,159,140,159
349,590721,1b3o,P12268,B,178,400,178,400
350,590722,1b3o,P12268,B,449,499,449,499
351,614009,3ffs,Q8T6T2,A,3,91,3,91
352,614010,3ffs,Q8T6T2,A,123,144,123,144
353,614011,3ffs,Q8T6T2,A,146,213,146,213
354,614012,3ffs,Q8T6T2,A,223,298,223,298
355,614013,3ffs,Q8T6T2,A,334,379,334,379
356,614014,3ffs,Q8T6T2,B,3,92,3,92
357,614015,3ffs,Q8T6T2,B,123,213,123,213
358,614016,3ffs,Q8T6T2,B,223,298,223,298
359,614017,3ffs,Q8T6T2,B,334,379,334,379
360,614018,3ffs,Q8T6T2,C,3,91,3,91
361,614019,3ffs,Q8T6T2,C,124,143,124,143
362,614020,3ffs,Q8T6T2,C,145,183,145,183
363,614021,3ffs,Q8T6T2,C,185,213,185,213
364,614022,3ffs,Q8T6T2,C,223,297,223,297
365,614023,3ffs,Q8T6T2,C,334,379,334,379
366,614024,3ffs,Q8T6T2,D,3,91,3,91
367,614025,3ffs,Q8T6T2,D,123,143,123,143
368,614026,3ffs,Q8T6T2,D,145,183,145,183
369,614027,3ffs,Q8T6T2,D,185,213,185,213
370,614028,3ffs,Q8T6T2,D,223,298,223,298
371,614029,3ffs,Q8T6T2,D,334,378,334,378
372,682295,6ua4,P12268,A,11,420,11,420
373,682296,6ua4,P12268,A,437,514,437,514
374,682297,6ua4,P12268,B,11,420,11,420
375,682298,6ua4,P12268,B,437,514,437,514
376,682299,6ua4,P12268,C,11,420,11,420
377,682300,6ua4,P12268,C,437,514,437,514
378,682301,6ua4,P12268,D,11,420,11,420
379,682302,6ua4,P12268,D,437,514,437,514
380,682303,6ua4,P12268,E,11,420,11,420
381,682304,6ua4,P12268,E,437,514,437,514
382,682305,6ua4,P12268,F,11,420,11,420
383,682306,6ua4,P12268,F,437,514,437,514
384,682307,6ua4,P12268,G,11,420,11,420
385,682308,6ua4,P12268,G,437,514,437,514
386,682309,6ua4,P12268,H,11,420,11,420
387,682310,6ua4,P12268,H,437,514,437,514
388,682311,6ua4,P12268,I,1,14,1,14
389,682312,6ua4,P12268,J,1,14,1,14
390,682313,6ua4,P12268,K,1,14,1,14
391,682314,6ua4,P12268,L,1,14,1,14
392,682315,6ua4,P12268,M,1,14,1,14
393,682316,6ua4,P12268,N,1,14,1,14
394,682317,6ua4,P12268,O,1,14,1,14
395,682318,6ua4,P12268,P,1,14,1,14
396,694016,1jr1,P12269,A,17,120,17,120
397,694017,1jr1,P12269,A,125,128,125,128
398,694018,1jr1,P12269,A,131,134,131,134
399,694019,1jr1,P12269,A,150,155,150,155
400,694020,1jr1,P12269,A,178,205,178,205
401,694021,1jr1,P12269,A,209,420,209,420
402,694022,1jr1,P12269,A,437,514,437,514
403,694023,1jr1,P12269,B,11,112,11,112
404,694024,1jr1,P12269,B,233,420,233,420
405,694025,1jr1,P12269,B,437,514,437,514
406,695451,1nfb,P12268,A,10,123,10,123
407,695452,1nfb,P12268,A,141,152,141,152
408,695453,1nfb,P12268,A,188,217,188,217
409,695454,1nfb,P12268,A,219,223,219,223
410,695455,1nfb,P12268,A,230,414,230,414
411,695456,1nfb,P12268,A,449,498,449,498
412,695457,1nfb,P12268,B,10,123,10,123
413,695458,1nfb,P12268,B,141,152,141,152
414,695459,1nfb,P12268,B,188,217,188,217
415,695460,1nfb,P12268,B,219,223,219,223
416,695461,1nfb,P12268,B,230,414,230,414
417,695462,1nfb,P12268,B,449,498,449,498
418,703545,2gjl,Q9I4V0,A,3,326,3,326
419,751810,5ksw,Q9CFW8,A,5,310,5,310
420,751812,5ksw,Q9CFW8,C,5,309,5,309
421,764156,6bka,Q12723,A,1,374,1,374
422,766010,6dvi,P21795,A,0,393,1,394
423,766011,6dvi,P21795,B,0,393,1,394
424,766012,6dvi,P21795,C,0,393,1,394
425,766013,6dvi,P21795,D,0,190,1,191
426,766014,6dvi,P21795,D,203,216,204,217
427,766015,6dvi,P21795,D,261,393,262,394
428,766016,6dvi,P21795,E,1,393,2,394
429,766017,6dvi,P21795,F,1,393,2,394
430,780467,6u8e,P12268,A,1,110,1,110
431,780468,6u8e,P12268,A,234,420,234,420
432,780469,6u8e,P12268,A,437,514,437,514
433,780470,6u8e,P12268,B,1,110,1,110
434,780471,6u8e,P12268,B,234,420,234,420
435,780472,6u8e,P12268,B,437,514,437,514
436,780473,6u8e,P12268,C,1,110,1,110
437,780474,6u8e,P12268,C,234,420,234,420
438,780475,6u8e,P12268,C,437,514,437,514
439,780476,6u8e,P12268,D,1,110,1,110
440,780477,6u8e,P12268,D,234,420,234,420
441,780478,6u8e,P12268,D,437,514,437,514
442,780479,6u8e,P12268,E,1,110,1,110
443,780480,6u8e,P12268,E,234,420,234,420
444,780481,6u8e,P12268,E,437,514,437,514
445,780482,6u8e,P12268,F,1,110,1,110
446,780483,6u8e,P12268,F,234,420,234,420
447,780484,6u8e,P12268,F,437,514,437,514
448,780485,6u8e,P12268,G,1,110,1,110
449,780486,6u8e,P12268,G,234,420,234,420
450,780487,6u8e,P12268,G,437,514,437,514
451,780488,6u8e,P12268,H,1,110,1,110
452,780489,6u8e,P12268,H,234,420,234,420
453,780490,6u8e,P12268,H,437,514,437,514
454,780642,6udq,P12268,A,12,420,12,420
455,780643,6udq,P12268,A,437,514,437,514
456,780644,6udq,P12268,B,12,420,12,420
457,780645,6udq,P12268,B,437,514,437,514
458,780646,6udq,P12268,C,12,420,12,420
459,780647,6udq,P12268,C,437,514,437,514
460,780648,6udq,P12268,D,12,420,12,420
461,780649,6udq,P12268,D,437,514,437,514
462,780650,6udq,P12268,E,11,420,11,420
463,780651,6udq,P12268,E,437,514,437,514
464,780652,6udq,P12268,F,11,420,11,420
465,780653,6udq,P12268,F,437,514,437,514
466,780654,6udq,P12268,G,11,420,11,420
467,780655,6udq,P12268,G,437,514,437,514
468,780656,6udq,P12268,H,11,420,11,420
469,780657,6udq,P12268,H,437,514,437,514
470,780658,6udq,P12268,I,1,14,1,14
471,780659,6udq,P12268,J,1,14,1,14
472,780660,6udq,P12268,K,1,14,1,14
473,780661,6udq,P12268,L,1,14,1,14
